"Name","Year","Rank"
"Aaron","1904",NA
"Abdul","1904",NA
"Adam","1904",NA
"Adrian","1904",NA
"Aidan","1904",NA
"Alan","1904",62
"Albert","1904",9
"Alec","1904",90
"Alex","1904",NA
"Alexander","1904",42
"Alfie","1904",NA
"Alfred","1904",11
"Allan","1904",92
"Andrew","1904",71
"Anthony","1904",91
"Antony","1904",NA
"Archibald","1904",60
"Archie","1904",NA
"Arnold","1904",75
"Arthur","1904",5
"Ashley","1904",NA
"Austin","1904",NA
"Bailey","1904",NA
"Barrie","1904",NA
"Barry","1904",NA
"Basil","1904",NA
"Ben","1904",NA
"Benjamin","1904",53
"Bernard","1904",45
"Bertie","1904",69
"Bertram","1904",74
"Billy","1904",NA
"Blake","1904",NA
"Bobby","1904",NA
"Bradley","1904",NA
"Brandon","1904",NA
"Brett","1904",NA
"Brian","1904",NA
"Bruce","1904",NA
"Bryan","1904",NA
"Caleb","1904",NA
"Callum","1904",NA
"Cameron","1904",NA
"Carl","1904",NA
"Carter","1904",NA
"Cecil","1904",34
"Charles","1904",7
"Charlie","1904",NA
"Christian","1904",NA
"Christopher","1904",61
"Clarence","1904",77
"Claude","1904",83
"Clifford","1904",43
"Clive","1904",NA
"Colin","1904",96
"Connor","1904",NA
"Conor","1904",NA
"Corey","1904",NA
"Craig","1904",NA
"Cyril","1904",26
"Dale","1904",NA
"Damian","1904",NA
"Damien","1904",NA
"Daniel","1904",57
"Danny","1904",NA
"Darren","1904",NA
"David","1904",30
"Dean","1904",NA
"Declan","1904",NA
"Denis","1904",98
"Dennis","1904",87
"Derek","1904",NA
"Derrick","1904",NA
"Desmond","1904",NA
"Dexter","1904",NA
"Dominic","1904",NA
"Donald","1904",51
"Douglas","1904",54
"Duncan","1904",NA
"Dylan","1904",NA
"Edgar","1904",49
"Edmund","1904",76
"Edward","1904",12
"Edwin","1904",40
"Elijah","1904",NA
"Elliot","1904",NA
"Elliott","1904",NA
"Ellis","1904",NA
"Eric","1904",35
"Ernest","1904",10
"Ethan","1904",NA
"Evan","1904",88
"Ewan","1904",NA
"Felix","1904",NA
"Finlay","1904",NA
"Finley","1904",NA
"Francis","1904",28
"Frank","1904",16
"Frankie","1904",NA
"Fred","1904",38
"Freddie","1904",NA
"Frederick","1904",8
"Gabriel","1904",NA
