"","Name","Year","Rank"
"1","Aaron","1904",NA
"2","Abdul","1904",NA
"3","Adam","1904",NA
"4","Adrian","1904",NA
"5","Aidan","1904",NA
"6","Alan","1904",62
"7","Albert","1904",9
"8","Albie","1904",NA
"9","Alec","1904",90
"10","Alex","1904",NA
"11","Alexander","1904",42
"12","Alfie","1904",NA
"13","Alfred","1904",11
"14","Allan","1904",92
"15","Andrew","1904",71
"16","Anthony","1904",91
"17","Antony","1904",NA
"18","Archibald","1904",60
"19","Archie","1904",NA
"20","Arlo","1904",NA
"21","Arnold","1904",75
"22","Arthur","1904",5
"23","Ashley","1904",NA
"24","Austin","1904",NA
"25","Bailey","1904",NA
"26","Barrie","1904",NA
"27","Barry","1904",NA
"28","Basil","1904",NA
"29","Ben","1904",NA
"30","Benjamin","1904",53
"31","Bernard","1904",45
"32","Bertie","1904",69
"33","Bertram","1904",74
"34","Billy","1904",NA
"35","Blake","1904",NA
"36","Bobby","1904",NA
"37","Bradley","1904",NA
"38","Brandon","1904",NA
"39","Brett","1904",NA
"40","Brian","1904",NA
"41","Bruce","1904",NA
"42","Bryan","1904",NA
"43","Caleb","1904",NA
"44","Callum","1904",NA
"45","Cameron","1904",NA
"46","Carl","1904",NA
"47","Carter","1904",NA
"48","Cecil","1904",34
"49","Charles","1904",7
"50","Charlie","1904",NA
"51","Christian","1904",NA
"52","Christopher","1904",61
"53","Clarence","1904",77
"54","Claude","1904",83
"55","Clifford","1904",43
"56","Clive","1904",NA
"57","Colin","1904",96
"58","Connor","1904",NA
"59","Conor","1904",NA
"60","Corey","1904",NA
"61","Craig","1904",NA
"62","Cyril","1904",26
"63","Dale","1904",NA
"64","Damian","1904",NA
"65","Damien","1904",NA
"66","Daniel","1904",57
"67","Danny","1904",NA
"68","Darren","1904",NA
"69","David","1904",30
"70","Dean","1904",NA
"71","Declan","1904",NA
"72","Denis","1904",98
"73","Dennis","1904",87
"74","Derek","1904",NA
"75","Derrick","1904",NA
"76","Desmond","1904",NA
"77","Dexter","1904",NA
"78","Dominic","1904",NA
"79","Donald","1904",51
"80","Douglas","1904",54
"81","Duncan","1904",NA
"82","Dylan","1904",NA
"83","Edgar","1904",49
"84","Edmund","1904",76
"85","Edward","1904",12
"86","Edwin","1904",40
"87","Elijah","1904",NA
"88","Elliot","1904",NA
"89","Elliott","1904",NA
"90","Ellis","1904",NA
"91","Eric","1904",35
"92","Ernest","1904",10
"93","Ethan","1904",NA
"94","Evan","1904",88
"95","Ewan","1904",NA
"96","Ezra","1904",NA
"97","Felix","1904",NA
"98","Finlay","1904",NA
"99","Finley","1904",NA
"100","Finn","1904",NA
"101","Francis","1904",28
"102","Frank","1904",16
"103","Frankie","1904",NA
"104","Fred","1904",38
"105","Freddie","1904",NA
"106","Frederick","1904",8
"107","Gabriel","1904",NA
"108","Gareth","1904",NA
"109","Garry","1904",NA
"110","Gary","1904",NA
"111","Gavin","1904",NA
"112","Geoffrey","1904",58
"113","George","1904",3
"114","Gerald","1904",68
"115","Gerard","1904",NA
"116","Gilbert","1904",64
"117","Glen","1904",NA
"118","Glenn","1904",NA
"119","Gordon","1904",82
"120","Graeme","1904",NA
"121","Graham","1904",NA
"122","Gregory","1904",NA
"123","Guy","1904",NA
"124","Harley","1904",NA
"125","Harold","1904",14
"126","Harrison","1904",NA
"127","Harry","1904",18
"128","Harvey","1904",NA
"129","Hector","1904",89
"130","Henry","1904",17
"131","Herbert","1904",21
"132","Horace","1904",37
"133","Howard","1904",95
"134","Hubert","1904",65
"135","Hugh","1904",55
"136","Hugo","1904",NA
"137","Iain","1904",NA
"138","Ian","1904",NA
"139","Ibrahim","1904",NA
"140","Isaac","1904",NA
"141","Ivan","1904",NA
"142","Ivor","1904",79
