Council	y2013	Majority13	Strength13	y2017	Majority17	Strength17
Isle of Wight	NOC		Strong	NR	2:00 am	Strong
Dorset	Con	14	Weak	NR	3:00 am	Strong
Essex	Con	35	Strong	NR	3:00 am	Strong
Somerset	Con	17	Weak	NR	3:00 am	Strong
Gloucestershire	NOC		Strong	NR	3:00 am	Strong
Lincolnshire	NOC		Strong	NR	3:00 am	Strong
Warwickshire	NOC		Strong	NR	3:00 am	Strong
Hampshire	Con	31	Strong	NR	4:00 am	Strong
Northumberland	NOC		Strong	NR	4:00 am	Strong
Cumbria	NOC		Strong	NR	8:00 am	Strong
Devon	Con	28	Strong	NR	1:00 pm	Strong
Hertfordshire	Con	30	Strong	NR	1:00 pm	Strong
Buckinghamshire	Con	32	Strong	NR	2:00 pm	Strong
Cambridgeshire	NOC		Strong	NR	2:00 pm	Strong
East Sussex	NOC		Strong	NR	2:00 pm	Strong
Surrey	Con	49	Strong	NR	3:00 pm	Strong
West Sussex	Con	33	Strong	NR	3:00 pm	Strong
Cornwall	NOC		Strong	NR	3:00 pm	Strong
Oxfordshire	NOC		Strong	NR	3:00 pm	Strong
Suffolk	NOC		Strong	NR	3:00 pm	Strong
Shropshire	Con	33	Strong	NR	4:00 pm	Strong
Wiltshire	Con	39	Strong	NR	4:00 pm	Strong
Derbyshire	Lab	25	Strong	NR	4:00 pm	Strong
Lancashire	NOC		Strong	NR	4:00 pm	Strong
Norfolk	NOC		Strong	NR	4:00 pm	Strong
Leicestershire	Con	17	Weak	NR	5:00 pm	Strong
North Yorkshire	Con	31	Strong	NR	5:00 pm	Strong
Staffordshire	Con	11	Weak	NR	5:00 pm	Strong
Worcestershire	Con	20	Strong	NR	5:00 pm	Strong
Nottinghamshire	Lab	11	Weak	NR	5:00 pm	Strong
Kent	Con	33	Strong	NR	6:00 pm	Strong
Durham	Lab	77	Strong	NR	6:00 pm	Strong
Northamptonshire	Con	25	Strong	NR	7:00 pm	Strong
Doncaster	Lab	32	Strong	NR	8:00 pm	Strong
Isles of Scilly	Ind		Strong	NR	NA	Strong
