"","Name","Year","Rank"
"1","Abbie","1904",NA
"2","Abigail","1904",NA
"3","Ada","1904",25
"4","Agnes","1904",35
"5","Aimee","1904",NA
"6","Aisha","1904",NA
"7","Alexandra","1904",NA
"8","Alice","1904",8
"9","Alicia","1904",NA
"10","Alisha","1904",NA
"11","Alison","1904",NA
"12","Alma","1904",NA
"13","Amanda","1904",NA
"14","Amber","1904",NA
"15","Amelia","1904",85
"16","Amelie","1904",NA
"17","Amy","1904",44
"18","Andrea","1904",NA
"19","Angela","1904",NA
"20","Anita","1904",NA
"21","Ann","1904",67
"22","Anna","1904",NA
"23","Annabelle","1904",NA
"24","Anne","1904",61
"25","Annette","1904",NA
"26","Annie","1904",6
"27","Arabella","1904",NA
"28","Aria","1904",NA
"29","Ashleigh","1904",NA
"30","Audrey","1904",NA
"31","Ava","1904",NA
"32","Barbara","1904",82
"33","Beatrice","1904",26
"34","Bella","1904",NA
"35","Bertha","1904",65
"36","Beryl","1904",NA
"37","Bessie","1904",69
"38","Beth","1904",NA
"39","Bethan","1904",NA
"40","Bethany","1904",NA
"41","Betty","1904",NA
"42","Beverley","1904",NA
"43","Blanche","1904",93
"44","Brenda","1904",NA
"45","Bridget","1904",NA
"46","Brooke","1904",NA
"47","Caitlin","1904",NA
"48","Carla","1904",NA
"49","Carly","1904",NA
"50","Carol","1904",NA
"51","Carole","1904",NA
"52","Caroline","1904",81
"53","Carolyn","1904",NA
"54","Catherine","1904",34
"55","Chantelle","1904",NA
"56","Charlene","1904",NA
"57","Charlotte","1904",75
"58","Chelsea","1904",NA
"59","Cheryl","1904",NA
"60","Chloe","1904",NA
"61","Christina","1904",99
"62","Christine","1904",NA
"63","Clair","1904",NA
"64","Claire","1904",NA
"65","Clara","1904",59
"66","Clare","1904",NA
"67","Constance","1904",41
"68","Courtney","1904",NA
"69","Cynthia","1904",NA
"70","Daisy","1904",47
"71","Danielle","1904",NA
"72","Daphne","1904",NA
"73","Darcey","1904",NA
"74","Darcie","1904",NA
"75","Darcy","1904",NA
"76","Dawn","1904",NA
"77","Debbie","1904",NA
"78","Deborah","1904",NA
"79","Debra","1904",NA
"80","Demi","1904",NA
"81","Denise","1904",NA
"82","Diana","1904",NA
"83","Diane","1904",NA
"84","Donna","1904",NA
"85","Dora","1904",54
"86","Doreen","1904",NA
"87","Doris","1904",3
"88","Dorothy","1904",5
"89","Edith","1904",4
"90","Edna","1904",42
"91","Eileen","1904",70
"92","Elaine","1904",NA
"93","Eleanor","1904",52
"94","Eliza","1904",83
"95","Elizabeth","1904",9
"96","Ella","1904",97
"97","Ellen","1904",19
"98","Ellie","1904",NA
"99","Eloise","1904",NA
"100","Elsie","1904",10
"101","Emilia","1904",NA
"102","Emily","1904",23
"103","Emma","1904",51
"104","Enid","1904",NA
"105","Erin","1904",NA
"106","Esme","1904",NA
"107","Esther","1904",76
"108","Ethel","1904",13
"109","Eva","1904",40
"110","Eve","1904",NA
"111","Evelyn","1904",31
"112","Evie","1904",NA
"113","Faith","1904",NA
"114","Fanny","1904",89
"115","Felicity","1904",NA
"116","Fiona","1904",NA
"117","Florence","1904",2
"118","Frances","1904",37
"119","Francesca","1904",NA
"120","Freda","1904",86
"121","Freya","1904",NA
"122","Gabrielle","1904",NA
"123","Gail","1904",NA
"124","Gemma","1904",NA
"125","Georgia","1904",NA
"126","Georgina","1904",NA
"127","Geraldine","1904",NA
"128","Gertrude","1904",33
"129","Gillian","1904",NA
"130","Gladys","1904",11
"131","Glenys","1904",NA
"132","Gloria","1904",NA
"133","Glynis","1904",NA
"134","Grace","1904",38
"135","Gracie","1904",NA
"136","Gwendoline","1904",56
"137","Hannah","1904",60
"138","Harper","1904",NA
"139","Harriet","1904",78
"140","Hayley","1904",NA
"141","Hazel","1904",NA
"142","Heather","1904",NA
"143","Heidi","1904",NA
"144","Helen","1904",57
"145","Hilary","1904",NA
"146","Hilda","1904",14
"147","Hollie","1904",NA
"148","Holly","1904",NA
"149","Ida","1904",58
"150","Imogen","1904",NA
"151","Irene","1904",39
"152","Iris","1904",92
"153","Isabel","1904",NA
"154","Isabella","1904",74
"155","Isabelle","1904",NA
"156","Isla","1904",NA
"157","Isobel","1904",NA
"158","Ivy","1904",16
"159","Jacqueline","1904",NA
"160","Jade","1904",NA
"161","Jane","1904",43
"162","Janet","1904",88
"163","Janice","1904",NA
"164","Jasmine","1904",NA
"165","Jayne","1904",NA
"166","Jean","1904",95
"167","Jeanette","1904",NA
"168","Jemma","1904",NA
"169","Jenna","1904",NA
"170","Jennifer","1904",NA
"171","Jenny","1904",NA
"172","Jessica","1904",NA
"173","Jessie","1904",36
"174","Jill","1904",NA
"175","Joan","1904",90
"176","Joanna","1904",NA
"177","Joanne","1904",NA
"178","Jodie","1904",NA
"179","Jordan","1904",NA
"180","Josephine","1904",NA
"181","Joy","1904",NA
"182","Joyce","1904",NA
"183","Judith","1904",NA
"184","Julia","1904",NA
"185","Julie","1904",NA
"186","June","1904",NA
"187","Karen","1904",NA
"188","Kate","1904",63
"189","Katherine","1904",NA
"190","Kathleen","1904",18
"191","Kathryn","1904",NA
"192","Katie","1904",NA
"193","Katy","1904",NA
"194","Kay","1904",NA
"195","Kayleigh","1904",NA
"196","Keira","1904",NA
"197","Kelly","1904",NA
"198","Kerry","1904",NA
"199","Kiera","1904",NA
"200","Kim","1904",NA
"201","Kimberley","1904",NA
"202","Kirsty","1904",NA
"203","Laura","1904",71
"204","Lauren","1904",NA
"205","Layla","1904",NA
"206","Leah","1904",NA
"207","Leanne","1904",NA
"208","Lesley","1904",NA
"209","Lexi","1904",NA
"210","Libby","1904",NA
"211","Lilian","1904",15
"212","Lillian","1904",66
"213","Lilly","1904",NA
"214","Lily","1904",20
"215","Linda","1904",NA
"216","Lindsay","1904",NA
"217","Lindsey","1904",NA
"218","Lisa","1904",NA
"219","Lola","1904",NA
"220","Lorraine","1904",NA
"221","Lottie","1904",NA
"222","Louisa","1904",53
"223","Louise","1904",NA
"224","Lucy","1904",50
"225","Luna","1904",NA
"226","Lydia","1904",91
"227","Lynda","1904",NA
"228","Lyndsey","1904",NA
"229","Lynn","1904",NA
"230","Lynne","1904",NA
"231","Lynsey","1904",NA
"232","Mabel","1904",24
"233","Maddison","1904",NA
"234","Madeleine","1904",NA
"235","Madison","1904",NA
"236","Maisie","1904",NA
"237","Mandy","1904",NA
"238","Margaret","1904",7
"239","Margery","1904",98
"240","Maria","1904",80
"241","Marian","1904",NA
"242","Marie","1904",79
"243","Marilyn","1904",NA
"244","Marina","1904",NA
"245","Marion","1904",68
